TEXT,Label
the implication is that muslims do not have the same moral agency that white people have and in all honesty i do not disagree,1
she a criminal piece of shit this bitch should hang when her fat ass falls it will pop her head off like saddam hussein,1
twitter really be therapeutic fr yal niggers are hilarious in moments of sadness,1
i moved in with john tushaus and family between kindergarten and first grade and he was down syndrome buttfucking retarded criminally insane faggot he needs capitol punishment he needs to be put down like a dog get away from me you buttfucking faggot,1
definitely a little kike fucker behind this,1
the problem is these church cucks are the ones bringing these so called refugees in where they are a danger to us all just like the stupid women of europe who welcome refugees and then get raped and murdered guarantee this woman would call anyone against refugee resettlement a racist,1
where tf do pple b finding these fine ass niggers,0
should illegal aliens be counted in the us census,0
it is a good thing they relocated all of the new orleans katrina refugees to houston they will be of great help teaching the locals how to handle this flood,0
can faggot stop being a derogatory term for gays and start being a derogatory term for just terrible men in general because i really like the word and honestly i have known a lot of faggots in my life and they were not homosexuals,0
   i see a white person using racism as a political weapon instead of a tool for learning and understanding only racists play that shit,0
  but if you kill yourself you ’ ll never know if the dick was good ☹ ️,0
the very media that got trump elected is now under concerted attack by democrats and leftist media and corporations with lies slander demonetizing and false accusations this nazi tactic has to be stood up against and stopped just watch all the election fraud by the left in the midterms,1
 mass shootings this year and not one committed by a black man or an illegal alien let that sink in,0
such a bad meme are you not able to come up with anything better the only ones i see using it are you and that retard husband of yours,1
aryan goddess taylor anti kike forcefield,1
make america peaceful again clean the muzzie filth from our society,1
i remember when white ppl were scared of nigger music let us go back to those days,0
another fast ball i hate it for your kind my nigga this ones one of one,0
 i can not decide darlifra is a fucking conservative nightmare but cross ange makes a rape victim apologize for being raped among many egregious offenses it like choosing between burning at the stake and being caught in a volcanic explosion,0
and that baby does not look like it has any nigger blood,1
mudslimes seppo retard thinks that muslims are the only shitskin variant invading mother evropa the majority of subsahran dindus are christian,1
im so horny looking for someone who can help me to cum horny sexe milf sexy cumtribute domina gay bisexual littledick cock hot,1
all white women should carry and learn how to use the gun my wife is licensed and goes to the range at least two times a week she says no nigger is going to lay a paw on her,1
contact me for a shirt that is black and in white says the global minority front white people on the back,0
if you can not handle a little swastika flag being waved at your rally you are not going to be able to tolerate a man shouting for the death of your enemies meanwhile punch a nazi kill all white people kill the boer,0
no really would this retarded oaf that claims to be my father just hurry up and have a heart attack ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿,0
  she will blame it on jews or trump i bet,1
if they are not white they have to go back start with those on social security pensions,1
she knows what she is doing is wrong and that very many german are white hot displeased with the situation and know whom to blame for it those are the nails of a woman who waiting for the bullet to come,1
we have had a muzzie problem since that psychotic pedo mohammed started his death cult,1
its not a theory mate her name was charlene downs and the shitty coloured scum were recorded talking about it the police fucked up it got threw out of court and the pakis got   compo,1
whites has souls when u enslaved people broke up families raped women in front of their husbands slaughtered native americans killed children lynhed people in public squares and watched it like a movie that called having a soul lmao,0
she not gonna love niggers that for sure if i ever saw that shit i would stomp that nigger to death,1
 i am suppose to be scared of a white bitch that took boxing lessons okay 😭 😭,1
tfb maybe if they were something other than thieving arab terrorist scum their fellow arabs might give a shit,1
 modi is brutal a hitler copycat cold blooded murderer killed christians muslims and sikhs in thousands believes in forceful proselytism kashmiris are being raped and killed in thousands   ,1
 self isolated homosexual sun pub type moon the war queer rising,0
look at dis ugly dothaid kike beak look like its mouf wuz made fo suckin dat babydick ,1
   he called lesbians dumpy women who take birth control hysterical and said that boys raped by catholic priests are victims of the gay disease what exactly has he said about white people,1
there is no need for immigrants to assimilate into canadian culture but those that refuse will be deported back to the shit hole these savage illiterate low iq inbred retards came from or we can simply execute these human waste,1
comment “ 💜 ” and follow back whoever likes your reply,0
what a lying asshole you are you arab muslim filth are fucking up christian europe liar typical blame shifting lying a rab hook nosed raghead,1
ccs ‏  · 5 m5 minutes ago veterans are still dying waiting for care at the va while our government is spending it resources on illegal immigrants,1
it ain t about black or white cause we are all humans,0
 also people identifying white men who have been radicalized to view women as disposable sex objects and are linked to multiple mass murders is not the same as the fucking holocaust my god incels are so fucking ridiculous,1
there is nothing a woman desires more than being brought to heel if white westerners will not do it then they will defect to the muzzrat savages who will it as simple as that,1
um but you do realize that jesus was a kike and that christianity was originally another like cult right,1
another shit thread bumped up by the gab faggot,1
sorry no final kike meals it makes the oven dirtier more ash to shovel out,1
what a f*cking  kike dirty trick white nationalism is normal and healthy for european societies and countries i can hardly wait till their filthy slimy rat kike blood flows thick in the streets,1
juvenile was really uplifting women on his song rodeo yessir this the bubble right hurr you are all beautiful women if ya insecure,0
  because in quran jews declared as enemy,1
president trump should not recieve kike netanyahu either and should not acknowledge israel as a country either and should exterminate all jews as well,1
no surprise homeland security added white supremacy as a terrorist threat prior to it lol conspiracy brotha,0
 lesbian fanatic she may represent a segment of the gay lesbian group but that it,1
 a muslim mp is being disciplined to act only as muslim representative and then ppl question why bjp does not give them enough ticket,0
wtf the russians have given their own shows to george galloway an anti white communist afshin rattansi a gay moslem communist now that fat sack of shit alex salmond rtuk is just as right on as the rest of the british media what so alternative about them anyway,0
 basically made a towelhead joke about punjabi ppl 😐,0
pray that my mom white blood count and platelets come up and stay up in jesus mighty name,0
i checked that one already as someone else said it one of the two according to wikipedia founders were jewish but yeah be peaceful it was an intentionally provocative question primarily to the wns who call me a kike and does not actually matter i do love puppies ,0
this fuckin beaner is dummer than most dummer than most where is the vatican mafia when we need em go was some more rag head feet u loser,1
because europe so wanted to love the arabs and fuck israel remember you all got your wish,1
yeah  take our country music back fuck what them white people say lhh hollywood,0
the damore v google lawsuit reveals the shocking institutionalized racism present in modern sjw tech companies not only was the numerical presence of women celebrated at google solely due to their gender but the presence of caucasians and males was mocked with boos,0
i took my black powder  cal muzzie loader out to the road mounted on the scope i can even use rocks when i run out of lead great gun except in the rain,0
shoutout to all the selfless young women that used to show us they titties on oovoo back in the day you are appreciated,0
rather than saddle white women with more children that they probably can not afford perhaps it would be better to spike the water supply in the middle east with a substance that makes men impotent better idea,1
right that is why i keep offering myself up to you by calling you nigger and comparing you to a silverback,1
girl shut up i know you like the gays,0
lmao niggas is crucifying r kelly today 😂,0
i know and work with many indians and sikhs almost all are hard working polite honourable people who don t like blacks jews queers or liberals,0
hispanic immigrant dads are literally so wholesome being raised to not show emotion but then showing it about the smallest things they did not have as kids is the purest thing,0
 i do not have white ass nipples nice try,0
that hilarious how many retarded people you know that can code in at least  machine languages genius,0
 lesbians can ’ t fetishise lesbians next,0
  we are believe that it will happen again and again after the  of the protest they want to kill all the protester to stop this protest action,0
this is very true also the reason asians get the asian fever after drinking,0
the heeb fears the muramasa,0
 devildog put both on to a spectrum the number of radical muslims that support carrying out jihad is big the number of radical jews that support and employ the talmud is small in comparison yet their leverage in media financing academia and politics is revealing bad influence on both,1
 i don ’ t mean the arabs to bring them together but you meant people we know a lot,0
i fucking hate you you used my emotions and shit and hurt me so badly 😭 💔,0
u kno what im turning gay fuck boys and men,0
you are confusing ghetto niggas with christian blacks if you do not see a difference it because you have not associated with many christian blacks but then why would you you are an atheist you and i do share the common goal of stopping more anti white mongrels from invading america though,1
that awesome nigger loves his possum they mention in the lyrics that the nigger also loves corn juice watermelon twas ever thus,1
 i cannot imagine that extreme level of revisionist history but then there are holocaust deniers too,0
as we say in grappling it only gay if you make eye contact,0
sleeping alone ghetto asf  ,0
and we are now on the precipice of another fucking retarded war that even more insane and again based on questionably flimsy of evidence,1
it was mostly beaners and asians with the occasional nog,1
president putin harassment ,0
 t  oh no he stood there and grinned what an absolute imbecile you are truly retarded,1
 he looks like a homosexual man to me,1
the antifaggots attacking the faggots for offending the boy sodomising moslem faggots the leftie sjws shirt lifters islamofascists are now cannabalising each other pmsl,1
this pic shows success and the ghetto all in one area,0
fucking degenerate faggots,1
go play with your own kind half nigger,1
i try so hard to be nice 😩 but some of u bitches really be proving how much u deserve ur chunky white filas huh,0
my manager is a white boy who thinks he ’ ghetto lmao,1
dear b o b nigga fuck you too dont nobody gaf,0
how you all doing today i bet this weather is better on your negro skin than somewhere north like detroit can i get an orah,1
one thing is for certain israel needs to be kinder to palestinians and needs more muslim refugees from africa and the nations around it,0
yeah good point i should probably lay off my stealth admonishing of indians muzzies and bongos cause they might damn well film me and then it goodbye job hello self employment,0
 went on her acc and its just ppl putting fancams and saying dykes follow me like that is helping in the slightest,1
 well you ’ re not ugly bitch,0
is it in the queer eye contract that when they are doing the wrap up at their special event they have to mention specifically in a speech that they had assistance from  gay men,0
like there are not straight women who hate dick but still manage to fall in love with cis dudes,0
nope negro the jews main sponsored group her negro comrades would not have to turn in their assault rifles because they did not get them legally in the first place,1
u fucking kike troll eat shit with your nazi obvious cuckfaggory,1
the ultimate authority on who is white who is not ,0
because it my time and it my life you all haha what they be sounding like i guess so i guess hoe,0
glad that white bitch got what she deserved killing that innocent black boy for no reason,1
google and go to images lol pol utsav sanduja this nigger is getting destroyed for life,1
zia illuminates how dynamics of gender and trauma in kashmir have been transformed in the face of south asia longest running conflict providing profound insight into how kashmiri women men nurture a politics of resistance while facing increasing military violence under india,0
that charlottesville violence is aweful for years the rightys refrained from violence while the islamic extremists and registered democrats perpetrated it more times than a guy can count on two hands it does not help em that anytime folks tries to assemble the leftys show up to egg people on,0
and over  deadly muslim terror attacks in less than  years means nothing according to you,0
 antifa are true patriots these are the brave men and women who show up to confront white supremacists and neo nazis while white supremacists are killing people the right wing media gets more upset because antifa blocked a doorway 🤦 ‍ ♂️ 🤦 ‍ ♂️ 🤦 ‍ ♂️ 🤦 ‍ ♂️ 🤦 ‍ ♂️ 🤦 ‍ ♂️ 🤦 ‍ ♂️ 🤦 ‍ ♂️ 🤦 ‍ ♂️,0
yes go be a nigger somewhere else,1
the lawyers are getting rich the politicians are getting child prostitutes from moslem pedos uk taxpayers pay hugely for a few to go to jail for a while no doubt to come out repeat bullets are way cheaper faster more permanent,1
ghetto is something the individual allows to take root in them etiquette social skills and determination can propel you out of said ghetto individuals like dr carson and prince are exemplary examples welfare has reduced black population tools of the establishment,1
doxxing anyone is not free speech any more than libel or slander or calls to commit violence are free speech,0
bro before hoe,0
  what happens if a tourist get raped now he dont have a abaya will she get stoned to dead or will they look for who did it,0
 i hate you so much in the most sub cocksucker suckalicious sort of way of course,1
breona that my dyke 🤣,1
  there is no even one refugee just illegal immigrants criminals that are enemy of greece and the greek people out of greece know bastards,1
  you need help you retard,0
abbi chase really thinks she that bitch me because i am that bitch 😛,0
i always hit my head in the back of those thi ngs hartford van dyke silent weapons for quiet wars is mandatory reading for oligarchs and us just as sheriff richard mack county sheriff americas last hope amazon,0
he talking bout how you wake up thinking bout crab legs you so ghetto 😭 😭 😭 bitch shut up 🥴,0
hey nigger lover we don t care what you have to say here go back to your nigger friends,1
 well you killed a grammar nazi with that reply for sure,0
i wish there were more leftists here to argue with conservatives are fun for a while but after a time all you hear is a cacophony of muh based blacks meskins asians queers they are all merican,0
sadly that not a joke the jihadi loons actively seek to destroy them and the useful idiot stooges of their opportunistic communist promoters will very likely fall in line there is no idea too absurd for those who have abandoned both reason and humor,0
i will bet if some nigger went ape shit on crack you d be the first to demand we show it some compassion right dingbat,1
they average more in cali with the feeding program but the skunks and coons eat well too,1
all this crap with trump may be going on does not mean i can not wish my dear naija a happy 5 9 th 🇳 🇬 🇳 🇬 ❤️ ❤️ naijaat59 nigeria at 59 nigeria independence africa,0
in the manga lucy called plue key white doggy instead of nikora the canis minor pun bot,0
i got in a argument with that mudshark after her redice interview she is not a nationalist nor altright an egalitarian sjw is closer to her beliefs her comment about nationalism being superior to others is a lie,1
 lol dutch white people are not taller than south african white people bro white people in sa are super tall amd they are beasts maybe its coz they are dutch descendants,0
stofmfront is circling the drain posting to this board is currently restricted to sustaining members guests and other users can read threads in the public forums perhaps their love of race mixers and gay jews was the beginning of the end i am referring to anglin and milo,1
get that person out of here rallies mexican immigrants r murderers rapist shootings russia if you are listening hacking we need to protect the whistleblower at all cost you know what we use to do to spies trump uses his platform to insite violence get results,0
 oh boy you are a retard but can be chill you remind me of the kid we used to fuck in the locker room before gym,1
i am reading jared taylor writing about white consciousness from the colonial days and it hard to believe this is the same race,0
anyone that stepped foot on desert soil and fought those sand niggers please tell me does it make you sick to see them taking over america,1
 i heard my birth mother was raped by joe and here i am proof bring on the free dna kit oh n the back child support baby needs a new pair of shoes,0
this must be the onion hilarious if true retarded surinam children for desperate feminist bitches,1
what is the distance between these tweets and explicit calls for violence,0
start being gay or else,1
bunch of dirty fucking nigger lovers and men with tits,1
i wanna be ghetto and buy some rims,1
my oriental compass is not perfect but i can pick out korean japs and chinese in a crowd of asians pretty well and you are right the long torso short legs is mostly a chinawoman thing and sometimes korean this is why btw koreans are great squatters pound for pound,0
why did full blow porn just pop up on my tl 😒 which one of you niggers,0
since asians are often honorary aryans they will naturally be targeted next,1
crazy women got the best pussy,0
i think i like gab for two reasons great memes and reading my husband argument threads i met and married this atheist but according to several nazi types i have married a jewish man does placing loads of exclamation points and random caps locking constitute better arguments 😂,0
listen of all the things i googled for a book are there homosexual sharks was probably the weirdest and most disappointing,0
farmers are white trash grow your own damn food ya kike bastard,1
 is not this guy gay,1
 if you are then i am too she is a hood rat trailer trash person anyone who thinks she is not is also a hood rat trailer trash person michelle is no racist,1
  this is why i hate you 😡,0
this is only proof that liberal women are never ever satisfied you feed a fee and another and another show up wanting more,1
i am watching queer eye and they are all just wandering around the house in shoes  on carpet  i hate this ,0
aw why god be tryna send bitch ass niggas in my life 😭 😭 😭,1
we will just use extreme state terror and violence to drive everybody out there now we have a our own country again i do not know dude it a war bad stuff happens that why it a bad idea to threaten people existence,0
thick women are only fat women who fat is in places that men like fat,0
 this nigga is now spamming me with his triggered responses lol why is he upset that i described sand nigger language sounds like pubes stuck in one throat let us not even kid ourselves,1
do not know if i just seen joker or a really weird episode of atlanta 🤔 either way film was very well done relevant phoenix was brilliant,0
  he is a sneaky and con artist booming arabs and blaming muslems sham on him he is the worest president so far,0
 some shit skin,1
upon successfully destroying europe and establishing berlin seat of european communist aka jew control while occupying israhell jews position themselves for complete takeover of us,1
you want to know what the villagers think about you they fucking hate you,0
 naseeruddinshah is right and should preach this to rohingya muslims who desperately seeking shelter in intolerant india,0
nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigg,1
through out the ghetto was there nary a word except brothers in green who through the streets could be heard demanding where my five dollah,1
it so nigger future blm member is what you sound like are you from houston this sounds like that nigger garbage from that shithole damn break that programming you are a jew tool,1
well if we did not have moslem kids in this country who parents would strap a bomb to we would not have to worry about this moslems ruin everything,1
the refusees are nignogs not arabs usually,1
  wbk they ’ re muslim kings,0
good morning to everyone except hoes who don ’ t get cold period,0
can yall dusty niggers engage im bout to start following the yts bc at least they gimme some ❤,0
leftists need to stop helping black folks that the reason there are ghettos in the first place lower standards for blacks is racism,1
  shtu she can stay her 🍑 in queens or d.c. and these illegal immigrants can go back home anytime they wish 😢 soft 🍑,1
  muslims out there in kashmir were either openly supporting their genocide or kept silence yes they all are terrorists,1
if  billionaire appointments enslaved blacks stoned women and executed gays they d be clinton foundation donors,1
  great you use support by neo nazi ultra right wing to be supported as a white supremacist racist kind of pres,0
just had a talk with my dog and he agrees if a moslem or any other assorted brown person comes to a white country and has a bad time he can go back to his land where do we go when we have had enough of them,1
 well that retarded,1
maga speakfreely if the world already hates you white people if black women already hate white women out of jealousy if black men already hate white men out of inferiority complex if arabs hate whites due to religion what exactly do you have to lose by loving yourself,1
except he a kike so why do we have to listen to his opinion do not we have enough of them bossing us,1
 fedgov is not legal and the non whites are certainly voting massively left it in large part the jew wish for white death why are you lying,1
bbc sunday morning that oddity andrew marr interviews a bunch left wing politician followed by sunday morning live hosted by a jewess a gay nigger pushing for moslem isis fighters to come to britain and we are forced to pay for this shite,1
bisexual women all over my page tonight i am blessing all of you all with this bi beauty be thankful,0
every time a nigger in africa gets pregnant abort it make it a law you can about up to  years,1
yeah it would have been so much better to let the nazis kill all the jews and all niggers and all the catholics and all the mud people and all the,1
some faggot reported my avi on twitter the same as i have here i wish the main people i follow on twitter were on gab so i could abandon that shitty site,1
i can see that violence against tv broadcast stations is going to necessarily skyrocket,0
beware of democratic party they r allied with muslim groups plan to dismantle individual rights rewrite constitution install communism,0
  the guy mocked the bucks and got kicked in the face how are people so retarded they can not see it,1
this addresses the key factor of why we should say it and what is the problem the refusal of immigrants to assimilate into our current culture if they do not want to assimilate the why the fuck even come here they do it to live free off of us who pay,1
i know both and who cares if they are born into wealth i also will not be showing a mongrel wetback my taxes so we will never know if you are making more than me cultural appropriation is never pretty on brownies,1
 they are illegal immigrants not asylum seekers,0
who are these people most of them are jealous angry people from other nations acting out emotionally any american who is parroting the kike line of american identity does not exist should be presumed to be mentally ill if you do not exist then what are you fighting for,1
fuck you fake ass hoes,1
  i learn islamic education in schools and im still gay honey,0
 shut the fuck up kike enabler,1
in the meantime jewish advocacy receives billions in funding from jews and that ok but when whites do it ooh better watch out it all a scam better not organise someone might kike you,0
still not winning oreilly out over sex harassment claims turns out that mmfa organized the whole thing we are still not winning and trump is not after soros and the rest when is there going to be justice,0
the agenda of the democrats party is to persecute confiscate wealth rights liberties from capitalists national restorationists and loyalists to the republic while masquerading as protectors of the dispossesed that their own corruption creates its how jews wage war on us,1
these niggas ruined the  toyota supra image super bowl,0
  is there any evidence for overlap between the two groups of rich white people i know they all look alike,0
all i want to do is gunshot gunshot gunshot and a cash register noise punch a nazi,1
ultimately noone free shit whether to megacorps or ghetto trash never gets repealed a small group is for it and everyone else is apathetic as it slightly too complicated for them to grok,1
when we go to war with russia i do hope they wont shoot any of our moslem soldiers while their having their prayer breaks probably best not to start the war during ramadan either innit,1
  please look at refugees iraqi in turkey they want home standwithiraqirefugees,0
portrait of a lady on fire screening in atlanta literally the day after i go back home to k*ntucky  the universe really hates pretentious dykes i guess,1
more red pills for women more hayek for women more duckduckgo for women liberallogic,0
listen to this fat bull dike liberal try to make a joke so sad liberal went out of style overnight,1
you niggas just scared ain ’ t nothing dead about the trap 😏,1
not just a nigger an immigrant nigger so the church got extra culturally enriched by vibrant diversity 😑,1
 do you see many immigrants wearing sandals flip flops in the snow like we do here,0
the british royal family just accepted a nigger into the blood line normies clearly harry is in love with his bride it is a beautiful thing god damn it why did not the british listen to mosley,1
so i have been thinking australia is having a vote on changing marriage laws to include gays but even if you supported gay marraige would back something that is also backed by cultural marxists,1
 women and a child among the collateral damage in latest op obama bombed a doctors without borders hospital scotus,0
these niggas be tough ass faggots 😂 😂,1
whatever the fuck the clinton bitch is saying in her book tour,1
mess kikes coons hajjis shits and feral chinks,1
   today debate on nrc those who are equating muslims with hindu immigrants from bangladesh must read nhrc definition of a refugee to remove their bias against rss bjp muslim persecutors can not b refugees coming from a muslim country,0
i just overheard my girlfriend telling her sister that she taking her retarded boyfriend to the pub tonight i can not believe she cheating on me,1
and i loveez dee poontang djd i beez buyin dat snatch on 4 th st fo  an  fo sum haid dat beez nigger poon do ya wan what poona gonna beez runnin ya  an dat beez wit a rubba,1
 every bit of jewish origin stories in the old testament is about a horde of jews infiltrating another superior culture breeding like rats then trying to over throw said culture egypt babylon persia everywhere they went they did this,1
there is nowhere in the new testament aka christianity that advocates violence of any kind islam is not an abrahamic religion it is a mockery of it,0
infanticide maybe the democrat party is a greater danger to this nation than immigrants coming across the border just sayin,1
what they succeed in doing is equating mercenaries for either the ukrainian or russian side with islamic jihadists thereby transferring the perceived threat from islamists to white men,0
 and everything everything book movie i ’ ve watched crazy rich asians yesterday amp i loved it,0
lrt i want the squid man grape boi,0
i am such a shady hoe omg,0
halifax a muzzie boy choked a grade  girl in the school yard this was retracted censored re written re released to cover up the problems with immigrants media msm is not allowed to tell you canada calgary edmonton vancouver winnipeg regina halifax toronto montreal saskatoon victoria,1
i am wondering why asian people are not offended that they are describing middle eastern goat fucking muslimes as asians in the uk,1
inna lillahi wa inna ilayhi rajiun death is inevitable may allah take our souls when he most pleased with us and forgive all of the muslim umma ameen,0
love tap or in ghetto speak closed hand pimp slap,0
i think that may depend on if you are simple or ghetto trash of which there are plenty white members in either category,1
dwg courtois is a fucking disgrace,0
considering your low negro iq you basically gather dust in that empty gorilla skull speaking of wasted taxpayer dollars how is rutgers treating you are they still pretending you are a human what a wacky experiment,1
most uncomfortable with trump kike connection hell his grandchildren are jews not good,1
anyone that stands with sand niggers over america is a piece of shit that all,1
why are we in muzrat somali and why are muzrat somalis here,0
that new nike react technology on that running shoe is giving ultra boosts a run for their money,0
my sister got to my city  weeks ago and already found a man that calls her everyday and buys her gifts virgo women are sick,0
the other fuckwit kerry un resolution will preserve the possibility of peace secretary of state says anti settlements measure also rightly condemns violence and incitement,0
i absolutely hate working with people who complain and bitch about everything if you do not wanna work then quit already lol,0
it would not surprise me if obama was behind the nut cases that have shot up schools i have never trusted that man and his muslim ties,1
those goretti girls blue uniforms white knee socks and enough makeup for a vegas showgirl loved those kids 😂,0
but todd the literally thousands of children who were raped to death and consumed as toppings on pizza cannot come forward their parents are too sad to come forward,1
let face it even the amish are way ahead of most muslim countries the amish shun technology too but they are peaceful and do not insist everyone adopt their ways way ahead of most muslim countries,1
i do not lose temper when calling niggers niggers other than that do you really think nigger chimpouts in the us achieved anything every gains niggers reached in the us jews gave them niggers were never more than annoying subhumans merely tolerated at the whites mercy,1
you know these hoes wishy washy they will fuck yo potna and take all of yo gwalla,1
 we know what state is full of white people now mskdfsdkfmskdfmksmdf,0
no one not a single breathing sole not even the tiniest insect on the planet stingy broke guy i love independent women 🙄,0
